scenario,window_index,start_time_sec,end_time_sec,state,label,audio_rms,audio_peak,audio_crest_factor,audio_kurtosis,audio_hilbert_env_mean,audio_hilbert_env_std,audio_hilbert_env_peak,audio_hilbert_env_crest,audio_hilbert_env_kurtosis,audio_shockwave_energy_ratio,audio_shockwave_pulse_count,audio_stft_2k8_db,audio_stft_harmonic_db,audio_spectral_centroid
abnormal_high_speed_20kph,187,133.5691,134.2806,abnormal,1,0.034151,0.157501,4.6119,0.118,0.042534,0.022879,0.163174,3.8363,0.6119,0.2072,87,-56.22,-63.75,3840.1
abnormal_high_speed_20kph,188,134.2863,134.9964,abnormal,1,0.032451,0.148569,4.5782,0.2325,0.039829,0.0228,0.156146,3.9204,0.3525,0.2148,88,-56.38,-63.82,3908.9
abnormal_high_speed_20kph,189,134.9993,135.709,abnormal,1,0.032708,0.132616,4.0545,0.2554,0.040018,0.023199,0.133589,3.3382,0.2128,0.2179,83,-56.97,-63.95,3899.3
abnormal_high_speed_20kph,190,135.7163,136.4255,abnormal,1,0.033888,0.176127,5.1973,0.4479,0.04171,0.023602,0.18444,4.4219,1.3309,0.2288,95,-56.45,-63.45,3913.1
abnormal_high_speed_20kph,191,136.4264,137.139,abnormal,1,0.034198,0.148603,4.3453,0.2105,0.042306,0.023435,0.15056,3.5588,0.5175,0.2156,88,-56.29,-63.83,3850.1
abnormal_high_speed_20kph,192,137.1407,137.8555,abnormal,1,0.034998,0.166586,4.7598,0.2847,0.043345,0.023895,0.170798,3.9404,0.9081,0.2242,86,-55.37,-63.68,3815.8
abnormal_high_speed_20kph,193,137.8564,138.5664,abnormal,1,0.034695,0.148446,4.2787,0.0763,0.043451,0.02279,0.150404,3.4614,0.421,0.2044,84,-55.95,-63.84,3806.9
abnormal_high_speed_20kph,194,138.569,139.2807,abnormal,1,0.033969,0.128085,3.7706,-0.0992,0.042782,0.021852,0.132009,3.0856,0.0027,0.1907,96,-56.06,-64.1,3806.3
abnormal_high_speed_20kph,195,139.2854,139.9965,abnormal,1,0.033715,0.137017,4.0639,-0.0838,0.042355,0.021897,0.14091,3.3269,0.0572,0.1928,93,-57.22,-64.22,3787.7
abnormal_high_speed_20kph,196,139.9992,140.709,abnormal,1,0.035342,0.125866,3.5614,-0.2326,0.044743,0.022274,0.133258,2.9783,-0.13,0.1827,92,-57.58,-64.02,3797.1
abnormal_high_speed_20kph,197,140.7153,141.4252,abnormal,1,0.034993,0.149491,4.272,-0.149,0.044295,0.022069,0.157564,3.5572,0.2951,0.1924,93,-57.77,-63.84,3828.3
abnormal_high_speed_20kph,198,141.4267,142.1391,abnormal,1,0.034239,0.123592,3.6096,-0.3652,0.043759,0.020733,0.126075,2.8812,-0.1935,0.1735,100,-58.33,-64.22,3807.4
abnormal_high_speed_20kph,199,142.1408,142.8552,abnormal,1,0.035053,0.121491,3.4659,-0.281,0.044551,0.021741,0.124379,2.7918,-0.2771,0.1763,111,-56.93,-64.33,3794.3
abnormal_high_speed_20kph,200,142.8568,143.5668,abnormal,1,0.031871,0.134978,4.2351,0.3812,0.038414,0.023578,0.137514,3.5798,0.145,0.2226,98,-56.78,-64.35,3962.6
abnormal_high_speed_20kph,201,143.569,144.2809,abnormal,1,0.035294,0.150774,4.2719,0.1877,0.042343,0.026429,0.151905,3.5875,-0.2449,0.208,95,-56.64,-62.9,3960.9
abnormal_high_speed_20kph,202,144.2851,144.9966,abnormal,1,0.038035,0.176517,4.6409,0.1915,0.047385,0.025457,0.17817,3.7601,0.8168,0.2147,75,-53.18,-63.19,3989.1
abnormal_high_speed_20kph,203,144.9992,145.709,abnormal,1,0.035704,0.166607,4.6663,0.5168,0.04338,0.025842,0.170878,3.9391,0.8694,0.2345,68,-53.32,-64.11,3972.0
abnormal_high_speed_20kph,204,145.715,146.425,abnormal,1,0.038261,0.167125,4.368,0.1994,0.047618,0.025699,0.171233,3.596,0.7265,0.2168,76,-52.75,-63.72,3940.5
abnormal_high_speed_20kph,205,146.4267,147.1391,abnormal,1,0.035892,0.167413,4.6643,0.5094,0.044191,0.024973,0.178533,4.04,1.5521,0.2374,74,-52.82,-63.77,3960.7
abnormal_high_speed_20kph,206,147.141,147.855,abnormal,1,0.037717,0.178371,4.7292,0.7177,0.045928,0.027123,0.183726,4.0003,1.5435,0.2523,72,-49.82,-63.09,3934.5
abnormal_high_speed_20kph,207,147.8568,148.5668,abnormal,1,0.037233,0.15421,4.1418,0.2994,0.045904,0.025795,0.164199,3.577,0.6205,0.2248,68,-46.43,-63.37,3959.3
abnormal_high_speed_20kph,208,148.569,149.2811,abnormal,1,0.037877,0.141022,3.7232,-0.0673,0.047634,0.0245,0.146775,3.0813,0.0941,0.1922,85,-47.26,-63.43,3909.0
abnormal_high_speed_20kph,209,149.2848,149.9968,abnormal,1,0.030378,0.153137,5.041,1.4761,0.033846,0.026461,0.157553,4.655,0.3543,0.2731,102,-52.9,-63.79,4197.3
abnormal_high_speed_20kph,210,149.9991,150.7089,abnormal,1,0.019862,0.128613,6.4754,3.2491,0.022371,0.016986,0.134394,6.0074,4.7809,0.3677,77,-53.1,-64.33,4456.6
abnormal_high_speed_20kph,211,150.7147,151.4247,abnormal,1,0.016958,0.089103,5.2544,0.7382,0.020667,0.012166,0.092596,4.4803,1.6228,0.2463,117,-53.59,-64.47,4546.6
abnormal_high_speed_20kph,212,151.4269,152.139,abnormal,1,0.014658,0.089787,6.1254,1.5792,0.017425,0.01123,0.092726,5.3215,2.8593,0.2821,118,-55.86,-65.0,4745.0
abnormal_high_speed_20kph,213,152.1412,152.8546,abnormal,1,0.035308,0.139851,3.9609,0.3747,0.043032,0.025327,0.141962,3.299,0.3343,0.2256,72,-54.43,-64.28,3981.7
abnormal_high_speed_20kph,214,152.8569,153.567,abnormal,1,0.037149,0.174942,4.7092,0.344,0.046063,0.025265,0.176309,3.8276,1.1646,0.2262,78,-53.23,-64.12,3911.1
abnormal_high_speed_20kph,215,153.5689,154.2813,abnormal,1,0.037419,0.161479,4.3154,0.3982,0.0461,0.025985,0.185564,4.0253,0.9456,0.2304,72,-52.39,-64.02,3925.8
abnormal_high_speed_20kph,216,154.2845,154.997,abnormal,1,0.03581,0.181794,5.0767,0.7079,0.043804,0.025413,0.192826,4.402,1.9707,0.2473,69,-50.64,-63.95,3903.6
abnormal_high_speed_20kph,217,154.999,155.709,abnormal,1,0.03808,0.164777,4.3272,0.4125,0.046714,0.026794,0.181245,3.8799,0.81,0.2266,85,-51.94,-63.85,3802.8
abnormal_high_speed_20kph,218,155.7144,156.4244,abnormal,1,0.017525,0.16997,9.6985,8.8571,0.018924,0.016005,0.170136,8.9903,17.4329,0.4318,77,-51.88,-64.75,4731.5
abnormal_high_speed_20kph,219,156.427,157.139,abnormal,1,0.031154,0.144682,4.6441,0.4067,0.037985,0.022322,0.147003,3.87,0.3932,0.2208,90,-51.37,-64.32,4068.2
abnormal_high_speed_20kph,220,157.1414,157.8543,abnormal,1,0.036029,0.139263,3.8653,-0.2139,0.045676,0.022578,0.144265,3.1584,-0.0241,0.1846,99,-57.35,-64.5,3731.6
abnormal_high_speed_20kph,221,157.8571,158.5671,abnormal,1,0.037583,0.142755,3.7984,-0.218,0.047801,0.023238,0.151597,3.1714,0.1224,0.1857,99,-56.72,-64.29,3713.8
abnormal_high_speed_20kph,222,158.5689,159.2814,abnormal,1,0.037312,0.128662,3.4483,-0.3735,0.047753,0.022448,0.145108,3.0387,-0.1535,0.1732,101,-56.06,-64.23,3725.1
abnormal_high_speed_20kph,223,159.2842,159.9972,abnormal,1,0.034153,0.136808,4.0057,0.1053,0.042495,0.022959,0.137834,3.2436,0.1134,0.2038,98,-55.89,-64.65,3766.0
abnormal_high_speed_20kph,224,159.9989,160.7088,abnormal,1,0.042464,0.157534,3.7098,-0.3874,0.054426,0.025381,0.162785,2.9909,-0.159,0.1704,91,-57.94,-64.65,3626.5
abnormal_high_speed_20kph,225,160.7141,161.4241,abnormal,1,0.043286,0.202618,4.6809,-0.0366,0.054347,0.028173,0.203026,3.7357,0.2578,0.1976,88,-58.07,-64.27,3675.1
abnormal_high_speed_20kph,226,161.4272,162.1388,abnormal,1,0.043434,0.173382,3.9919,-0.2006,0.055099,0.027149,0.182199,3.3067,0.1447,0.1857,87,-57.12,-64.36,3622.9
